# epoch 0  H=7.9996 C=8.0025 HO=-0.0005  A(t)=0
         1  ......p......e..  fffff08b1aaa700904ac1defbd65d1a3
        68  6666666666666666  36363636363636363636363636363636
        47  ................  e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7
        47  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
        42  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        42  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        39  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        38  ................  01010101010101010101010101010101
# epoch 300  H=7.9970 C=7.9538 HO=-0.0030  A(t)=47
       337  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       110  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        93  ................  e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7
        49  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        49  ................  85858585858585858585858585858585
        48  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        46  6666666666666666  36363636363636363636363636363636
        42  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        38  ................  01010101010101010101010101010101
        34  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
# epoch 350  H=7.9964 C=7.9471 HO=-0.0037  A(t)=53
       315  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        93  ................  e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7
        77  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        53  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        50  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        49  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
        49  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
        49  ................  15151515151515151515151515151515
        46  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        42  6666666666666666  36363636363636363636363636363636
# epoch 400  H=7.9960 C=7.9438 HO=-0.0040  A(t)=61
       291  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        75  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        65  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        63  ................  e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7
        49  ................  fafafafafafafafafafafafafafafafa
        48  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        47  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        47  ................  15151515151515151515151515151515
        43  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        37  6666666666666666  36363636363636363636363636363636
# epoch 450  H=7.9958 C=7.9413 HO=0.0587  A(t)=64
       250  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       110  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        81  ................  ffffffffffffffffffffffffffffffff
        56  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        55  ................  00000000000000000000000000000000
        48  ................  fafafafafafafafafafafafafafafafa
        47  ................  e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7
        47  ................  15151515151515151515151515151515
        37  ................  09090909090909090909090909090909
        36  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
# epoch 500  H=7.9955 C=7.9417 HO=0.0581  A(t)=69
       255  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       107  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        78  ................  ffffffffffffffffffffffffffffffff
        56  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        55  ................  00000000000000000000000000000000
        47  ................  15151515151515151515151515151515
        38  ................  e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7
        37  ................  09090909090909090909090909090909
        33  ................  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
        33  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
# epoch 550  H=7.9951 C=7.9364 HO=0.0622  A(t)=70
       257  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       146  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        77  ................  ffffffffffffffffffffffffffffffff
        77  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
        63  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        62  ................  01010101010101010101010101010101
        56  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        55  ................  00000000000000000000000000000000
        47  ................  15151515151515151515151515151515
        38  ................  e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7
# epoch 600  H=7.9949 C=7.9382 HO=0.0601  A(t)=77
       249  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       112  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        62  ................  ffffffffffffffffffffffffffffffff
        61  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        59  ................  01010101010101010101010101010101
        55  ................  00000000000000000000000000000000
        54  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
        40  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        38  ................  e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7
        33  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
# epoch 650  H=7.9946 C=7.9344 HO=0.0636  A(t)=82
       222  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        70  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        62  ................  ffffffffffffffffffffffffffffffff
        56  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
        55  ................  00000000000000000000000000000000
        48  ................  d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6
        48  ................  d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4
        48  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        46  ................  dadadadadadadadadadadadadadadada
        46  ................  87878787878787878787878787878787
# epoch 700  H=7.9942 C=7.9318 HO=0.0657  A(t)=86
       244  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       101  ................  00000000000000000000000000000000
       100  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        91  ................  01010101010101010101010101010101
        54  ................  ffffffffffffffffffffffffffffffff
        48  ................  efefefefefefefefefefefefefefefef
        47  ................  d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4
        46  ................  87878787878787878787878787878787
        45  ................  dadadadadadadadadadadadadadadada
        44  ................  d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6
# epoch 750  H=7.9937 C=7.9276 HO=0.0651  A(t)=88
       283  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       122  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        93  ................  d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6
        77  ................  01010101010101010101010101010101
        69  ................  00000000000000000000000000000000
        53  ................  ffffffffffffffffffffffffffffffff
        49  ................  87878787878787878787878787878787
        47  ................  d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4
        45  ................  dadadadadadadadadadadadadadadada
        40  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 800  H=7.9935 C=7.9290 HO=0.0643  A(t)=91
       256  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       120  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        77  ................  01010101010101010101010101010101
        74  ................  d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6
        60  ................  00000000000000000000000000000000
        53  ................  ffffffffffffffffffffffffffffffff
        47  ................  d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4
        47  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        45  ................  dadadadadadadadadadadadadadadada
        39  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 850  H=7.9933 C=7.9267 HO=0.0662  A(t)=91
       199  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        89  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        54  ................  01010101010101010101010101010101
        52  ................  00000000000000000000000000000000
        48  ................  d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6
        45  ................  dadadadadadadadadadadadadadadada
        41  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        40  ................  ffffffffffffffffffffffffffffffff
        36  ................  f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2
        36  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
# epoch 900  H=7.9932 C=7.9253 HO=0.0660  A(t)=98
       196  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        82  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        53  ................  01010101010101010101010101010101
        52  ................  00000000000000000000000000000000
        48  ................  d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6
        43  ................  eaeaeaeaeaeaeaeaeaeaeaeaeaeaeaea
        41  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        40  ................  ffffffffffffffffffffffffffffffff
        36  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        31  ................  f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2
# epoch 950  H=7.9928 C=7.9212 HO=0.0706  A(t)=101
       183  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       147  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        74  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        60  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        49  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        49  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        48  ................  d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6
        48  8888888888888888  38383838383838383838383838383838
        41  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        40  ................  ffffffffffffffffffffffffffffffff
# epoch 1000  H=7.9926 C=7.9193 HO=0.0703  A(t)=103
       141  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       120  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        70  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        62  ................  0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e
        49  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        48  ................  97979797979797979797979797979797
        45  ................  a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
        41  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        41  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        40  ................  ffffffffffffffffffffffffffffffff
# epoch 1050  H=7.9923 C=7.9205 HO=0.0693  A(t)=105
       142  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       120  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        80  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        52  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        46  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        42  ................  0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e
        41  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        40  ................  ffffffffffffffffffffffffffffffff
        40  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        34  ................  fefefefefefefefefefefefefefefefe
# epoch 1100  H=7.9920 C=7.9179 HO=0.0690  A(t)=110
       136  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
       109  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        96  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        80  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        53  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        43  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        42  ................  0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e
        41  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        40  ................  ffffffffffffffffffffffffffffffff
        34  ................  fefefefefefefefefefefefefefefefe
# epoch 1150  H=7.9919 C=7.9196 HO=0.0668  A(t)=113
       104  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        88  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        70  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        70  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        53  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        43  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        41  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        37  ................  0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e
        34  ................  fefefefefefefefefefefefefefefefe
        28  ................  ffffffffffffffffffffffffffffffff
# epoch 1200  H=7.9916 C=7.9189 HO=0.0661  A(t)=118
       111  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        70  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        62  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        52  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        51  WWWWWWWWWWWWWWWW  57575757575757575757575757575757
        49  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
        49  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        41  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        38  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        37  ................  0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e
# epoch 1250  H=7.9915 C=7.9198 HO=0.0657  A(t)=122
       117  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        60  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        56  ................  01010101010101010101010101010101
        54  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        52  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        49  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
        41  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        41  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        39  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
        38  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 1300  H=7.9912 C=7.9180 HO=0.0660  A(t)=123
        81  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        60  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        56  ................  01010101010101010101010101010101
        55  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        53  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        51  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        41  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        39  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
        39  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
        36  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
# epoch 1350  H=7.9909 C=7.9149 HO=0.0724  A(t)=123
       163  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        93  3333333333333333  33333333333333333333333333333333
        74  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        63  ssssssssssssssss  73737373737373737373737373737373
        53  ................  01010101010101010101010101010101
        51  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        50  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        42  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        41  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        36  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
# epoch 1400  H=7.9907 C=7.9171 HO=0.0702  A(t)=124
       207  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        53  ................  dadadadadadadadadadadadadadadada
        50  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        49  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
        48  3333333333333333  33333333333333333333333333333333
        45  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        44  ssssssssssssssss  73737373737373737373737373737373
        44  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        41  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        33  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
# epoch 1450  H=7.9905 C=7.9189 HO=0.0690  A(t)=125
       180  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        49  3333333333333333  33333333333333333333333333333333
        45  ................  dadadadadadadadadadadadadadadada
        44  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        41  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        40  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        38  ssssssssssssssss  73737373737373737373737373737373
        32  ................  01010101010101010101010101010101
        31  ................  fefefefefefefefefefefefefefefefe
        29  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
# epoch 1500  H=7.9904 C=7.9153 HO=0.0719  A(t)=126
       187  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       110  ________________  20202020202020202020202020202020
        48  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        47  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        47  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        45  ................  dadadadadadadadadadadadadadadada
        41  ................  14141414141414141414141414141414
        39  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        36  3333333333333333  33333333333333333333333333333333
        31  ................  fefefefefefefefefefefefefefefefe
# epoch 1550  H=7.9903 C=7.9150 HO=0.0720  A(t)=130
       210  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       101  ________________  20202020202020202020202020202020
        65  ................  02020202020202020202020202020202
        49  RRRRRRRRRRRRRRRR  52525252525252525252525252525252
        43  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        41  ................  14141414141414141414141414141414
        36  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        30  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        29  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
        28  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
# epoch 1600  H=7.9899 C=7.9147 HO=0.0744  A(t)=130
       238  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        77  ________________  20202020202020202020202020202020
        52  RRRRRRRRRRRRRRRR  52525252525252525252525252525252
        49  ................  02020202020202020202020202020202
        40  ................  93939393939393939393939393939393
        37  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        36  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        34  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        29  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
        28  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
# epoch 1650  H=7.9897 C=7.9151 HO=0.0716  A(t)=132
       229  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        77  ________________  20202020202020202020202020202020
        49  ................  02020202020202020202020202020202
        46  ................  00000000000000000000000000000000
