# epoch 12750  H=6.3475 C=1.1832 HO=5.8193  A(t)=0
       915  .n2..%.....[E.2|  fe6e3205cc25eab4b70d1c5b45e5327c
       906  2^...2>2e22}.,]^  325ea2c82e323e326532327dc12c5d5e
       906  .2^...2>2e22}.,]  08325ea2c82e323e326532327dc12c5d
       886  ^...2>2e22}.,]^|  5ea2c82e323e326532327dc12c5d5e7c
       884  ...2>2e22}.,]^|(  a2c82e323e326532327dc12c5d5e7c28
# epoch 14000  H=6.8905 C=1.1833 HO=6.3899  A(t)=1436
       798  },]}...1.0e^...O  7d2c5d7dfed1fe319430655ea5e5b44f
       791  .?..n2..%.....[E  ff3f0ffe6e3205cc25eab4b70d1c5b45
       740  ..n2..%.....[E.2  0ffe6e3205cc25eab4b70d1c5b45e532
       734  .n2..%.....[E.2|  fe6e3205cc25eab4b70d1c5b45e5327c
       643  ...O1#sE6..9:..K  a5e5b44f31237345368701393a9be24b
       643  ^...O1#sE6..9:..  5ea5e5b44f31237345368701393a9be2
       639  V.."3.?N2.2e....  56b2d82233833f4e329a3265b4b40508
       627  ?.g...V.."3.?N2.  3fff67fe0efe56b2d82233833f4e329a
       626  e^...O1#sE6..9:.  655ea5e5b44f31237345368701393a9b
       624  }E,].f....0.V.99  7d452c5d1366fdfe949430c056fa3939
# epoch 14250  H=6.9639 C=1.2585 HO=6.4593  A(t)=1885
      1007  RN2.2.2....[...l  524e32ec321b32b4b7c1fd5bccb39c6c
       957  .RN2.2.2....[...  ee524e32ec321b32b4b7c1fd5bccb39c
       932  .[...l2>2.22},]}  fd5bccb39c6c323e328832327d2c5d7d
       921  ..[...l2>2.22},]  c1fd5bccb39c6c323e328832327d2c5d
       883  2.2....[...l2>2.  321b32b4b7c1fd5bccb39c6c323e3288
       879  N2.2.2....[...l2  4e32ec321b32b4b7c1fd5bccb39c6c32
       879  2.2.2....[...l2>  32ec321b32b4b7c1fd5bccb39c6c323e
       877  .2.2....[...l2>2  ec321b32b4b7c1fd5bccb39c6c323e32
       869  .2....[...l2>2.2  1b32b4b7c1fd5bccb39c6c323e328832
       833  [...l2>2.22},]}.  5bccb39c6c323e328832327d2c5d7dfe
# epoch 14500  H=7.0369 C=1.2036 HO=6.5348  A(t)=2341
       937  .[E.2l2>2..2},].  c75b45b3326c323e3288f1327d2c5def
       915  ..[E.2l2>2..2},]  c1c75b45b3326c323e3288f1327d2c5d
       747  ....#>2222}.,],,  98d5fba0233e323232327dd02c5d2c2c
       710  l2>2.22},]}...1.  6c323e328832327d2c5d7dfefec03194
       692  2>2.22},]}...1.0  323e328832327d2c5d7dfefec0319430
       649  ...#>2222}.,],,.  d5fba0233e323232327dd02c5d2c2cff
       640  >2222}.,],,..1?d  3e323232327dd02c5d2c2cffe5313f64
       632  ..#>2222}.,],,..  fba0233e323232327dd02c5d2c2cffe5
       632  #>2222}.,],,..1?  233e323232327dd02c5d2c2cffe5313f
       630  .#>2222}.,],,..1  a0233e323232327dd02c5d2c2cffe531
# epoch 14750  H=7.0849 C=1.2196 HO=6.5891  A(t)=2794
      1376  ..[E.2l2>2..2},]  c1c75b45b3326c323e3288f1327d2c5d
      1235  .[E.2l2>2..2},].  c75b45b3326c323e3288f1327d2c5def
       882  ....#>2222}.,],,  98d5fba0233e323232327dd02c5d2c2c
       754  .p.....#>2222}.,  e070fe98d5fba0233e323232327dd02c
       754  p.....#>2222}.,]  70fe98d5fba0233e323232327dd02c5d
       752  ..p.....#>2222}.  ece070fe98d5fba0233e323232327dd0
       750  >2..2},].j..1.0e  3e3288f1327d2c5def6afeb231943065
       737  Q..[E.2l2>2..2},  51c1c75b45b3326c323e3288f1327d2c
       735  .Q..[E.2l2>2..2}  b451c1c75b45b3326c323e3288f1327d
       735  2.Q..[E.2l2>2..2  32b451c1c75b45b3326c323e3288f132
# epoch 15000  H=7.1515 C=1.2056 HO=6.6503  A(t)=3229
      1185  ...#>2222}.,],,.  d5fba0233e323232327dd02c5d2c2cff
      1129  ....#>2222}.,],,  98d5fba0233e323232327dd02c5d2c2c
      1104  .#>2222}.,],,..1  a0233e323232327dd02c5d2c2cffe531
      1062  ..#>2222}.,],,..  fba0233e323232327dd02c5d2c2cffe5
      1034  [.1...?.MN...H2.  5b0c3194d1ff3f9d4d4ed503064832b4
       974  #>2222}.,],,..1?  233e323232327dd02c5d2c2cffe5313f
       872  }.,],,.s`A.eE...  7de22c5d2c2cf8736041b96545a518c0
       837  ,],,.s`A.eE...-.  2c5d2c2cf8736041b96545a518c02dfc
       826  ],,.s`A.eE...-..  5d2c2cf8736041b96545a518c02dfc18
       826  ,,.s`A.eE...-..]  2c2cf8736041b96545a518c02dfc185d
# epoch 15250  H=7.1987 C=1.2672 HO=6.6986  A(t)=3723
       738  [E.2l2>2..2},]..  5b45b3326c323e3288f7327d2c5deffe
       734  ..2},]....0.0R^_  88f7327d2c5deffefeb2309430525e5f
       732  >2..2},]....0.0R  3e3288f7327d2c5deffefeb230943052
       732  2..2},]....0.0R^  3288f7327d2c5deffefeb2309430525e
       730  l2>2..2},]....0.  6c323e3288f7327d2c5deffefeb23094
       726  E.2l2>2..2},]...  45b3326c323e3288f7327d2c5deffefe
       726  2>2..2},]....0.0  323e3288f7327d2c5deffefeb2309430
       720  2l2>2..2},]....0  326c323e3288f7327d2c5deffefeb230
       718  .2l2>2..2},]....  b3326c323e3288f7327d2c5deffefeb2
       589  .[E.2l2>2..2},].  c75b45b3326c323e3288f7327d2c5def
# epoch 15500  H=7.2340 C=1.2309 HO=6.7400  A(t)=4178
       773  .2}E,]F...zc0...  da327d452c5d46fea1fe7a6330f8d4a5
       754  >...2}E,]F...zc0  3eaaa0da327d452c5d46fea1fe7a6330
       752  ^>...2}E,]F...zc  5e3eaaa0da327d452c5d46fea1fe7a63
       751  ...2}E,]F...zc0.  aaa0da327d452c5d46fea1fe7a6330f8
       741  }E,]F...zc0.....  7d452c5d46fea1fe7a6330f8d4a501a0
       740  }.,],,..1?de....  7dd02c5d2c2ccce5313f6465eda5010e
       739  2}E,]F...zc0....  327d452c5d46fea1fe7a6330f8d4a501
       739  !...2.[s.2..>o/.  2110c7b732a85b73dd321c0a3e6f2ffb
       738  [E.2l2>2..2},]..  5b45b3326c323e3288f7327d2c5deffe
       732  ..q#>222.}.,],,.  d5fb71233e323232027dd02c5d2c2ccc
# epoch 15750  H=7.2644 C=1.2407 HO=6.7672  A(t)=4685
       936  ..N..2.2....[E..  0f174e1580321b328acf93c85b4505fa
       933  2.2}.,],,..1?de.  32e8327dd02c5d2c2c92e5313f646514
       910  .q#>222.}.,],,..  fb71233e323232027dd02c5d2c2ccce5
       897  ..q#>222.}.,],,.  d5fb71233e323232027dd02c5d2c2ccc
       877  >22.2}.,],,..1?d  3e3232e8327dd02c5d2c2c92e5313f64
       873  22.2}.,],,..1?de  3232e8327dd02c5d2c2c92e5313f6465
       825  `.n..N..2.2....[  60956e0f174e1580321b328acf93c85b
       824  >222.}.,],,..1?d  3e323232027dd02c5d2c2ccce5313f64
       823  .`.n..N..2.2....  8b60956e0f174e1580321b328acf93c8
       805  .n..N..2.2....[E  956e0f174e1580321b328acf93c85b45
# epoch 16000  H=7.3074 C=1.2760 HO=6.7983  A(t)=5086
       943  t..[...l.>2.2.},  74c1055b90b3976ce83e328832ed7d2c
       933  _....D..3m.B.Rv.  5ffe0f9e9d44bad2336d01429752760e
       929  ..[...l.>2.2.},]  c1055b90b3976ce83e328832ed7d2c5d
       901  .t..[...l.>2.2.}  9e74c1055b90b3976ce83e328832ed7d
       885  .[...l.>2.2.},].  055b90b3976ce83e328832ed7d2c5dcc
       883  [...l.>2.2.},]..  5b90b3976ce83e328832ed7d2c5dcc11
       876  ...Cr........e..  9dcff0437218b4818880e2a4c965f394
       866  .._....Cr.......  a501209e9dcff0437218b4818880e2a4
       819  ].._....Cr......  5da501209e9dcff0437218b4818880e2
       818  ....Cr........e.  9e9dcff0437218b4818880e2a4c965f3
# epoch 16250  H=7.3229 C=1.2343 HO=6.8140  A(t)=5410
       960  [..s.m.[r8......  5b0ac673926db75b72381887ecbb8290
       943  .s.m.[r8........  c673926db75b72381887ecbb8290ded5
       941  s.m.[r8.........  73926db75b72381887ecbb8290ded518
       940  J..0[..s.m.[r8..  4aa6be305b0ac673926db75b72381887
       936  ..s.m.[r8.......  0ac673926db75b72381887ecbb8290de
       924  .0[..s.m.[r8....  be305b0ac673926db75b72381887ecbb
       924  ..0[..s.m.[r8...  a6be305b0ac673926db75b72381887ec
       922  0[..s.m.[r8.....  305b0ac673926db75b72381887ecbb82
       823  .[s.2..>o/.M},]_  a85b73dd321c0a3e6f2ffb4d7d2c5d20
       812  .....J..0[..s.m.  dffeffdf0f4aa6be305b0ac673926db7
# epoch 16500  H=7.3400 C=1.2178 HO=6.8291  A(t)=5839
       811  ?.g......"..vNn.  3fff6718b7fefab2d8228c83764e6e9a
       784  .|.1...........J  fe7cb831ffffffff09bf98fe9fdf0f4a
       784  .1...........J.2  b831ffffffff09bf98fe9fdf0f4aa632
       784  |.1...........J.  7cb831ffffffff09bf98fe9fdf0f4aa6
       771  2>Co2.}E,]Z~..1j  323e436f32d37d452c5d5a7efe1a316a
       767  .g......"..vNn.2  ff6718b7fefab2d8228c83764e6e9a32
       763  g......"..vNn.2e  6718b7fefab2d8228c83764e6e9a3265
       763  2p`2.2>Co2.}E,]Z  32706032d2323e436f32d37d452c5d5a
       755  >Co2.}E,]Z~..1j.  3e436f32d37d452c5d5a7efe1a316aa2
       751  .2p`2.2>Co2.}E,]  1a32706032d2323e436f32d37d452c5d
# epoch 16750  H=7.3751 C=1.2004 HO=6.8674  A(t)=6259
      1048  .[.._l.>c...},].  055b90b3206ce83e638889ed7d2c5dcc
      1044  ..R.2.2.2.tM.[..  e8ee52c932ec321b329e744d055b90b3
      1032  .2.tM.[.._l.>c..  1b329e744d055b90b3206ce83e638889
      1008  M.[.._l.>c...},]  4d055b90b3206ce83e638889ed7d2c5d
       994  tM.[.._l.>c...},  744d055b90b3206ce83e638889ed7d2c
       984  ._l.>c...},]..p.  b3206ce83e638889ed7d2c5dcc117018
       982  .._l.>c...},]..p  90b3206ce83e638889ed7d2c5dcc1170
       982  [.._l.>c...},]..  5b90b3206ce83e638889ed7d2c5dcc11
       953  2.2.tM.[.._l.>c.  321b329e744d055b90b3206ce83e6388
       949  .2.2.tM.[.._l.>c  ec321b329e744d055b90b3206ce83e63
# epoch 17000  H=7.3903 C=1.2183 HO=6.8857  A(t)=6642
      1060  ...1..j..R.2.2.2  ff01fe3109926ae8ee52c932ec321b32
      1060  ?...1..j..R.2.2.  3fff01fe3109926ae8ee52c932ec321b
      1050  _l.>c...},]..p.1  206ce83e638889ed7d2c5dcc11701831
      1041  .._l.>c...},]..p  90b3206ce83e638889ed7d2c5dcc1170
      1041  [.._l.>c...},]..  5b90b3206ce83e638889ed7d2c5dcc11
      1030  ._l.>c...},]..p.  b3206ce83e638889ed7d2c5dcc117018
      1024  .[.._l.>c...},].  055b90b3206ce83e638889ed7d2c5dcc
      1010  ..1..j..R.2.2.2.  01fe3109926ae8ee52c932ec321b329e
       885  M},]_J..)20..W..  4d7d2c5d204a82fe293230cba457a4c0
       878  M.[.._l.>c...},]  4d055b90b3206ce83e638889ed7d2c5d
# epoch 17250  H=7.4139 C=1.2114 HO=6.9115  A(t)=7046
      1044  ..>..2X}.,]..@.-  aa193e8be832587d1f2c5dedae40fe2d
      1034  >..2X}.,]..@.-*9  3e8be832587d1f2c5dedae40fe2d2a39
      1030  .>..2X}.,]..@.-*  193e8be832587d1f2c5dedae40fe2d2a
      1002  .2X}.,]..@.-*9z.  e832587d1f2c5dedae40fe2d2a397afe
       998  ..2X}.,]..@.-*9z  8be832587d1f2c5dedae40fe2d2a397a
       969  ...},]..(.....b_  88b7fb7d2c5da9fe28b2a3c6dedd625f
       960  2X}.,]..@.-*9z..  32587d1f2c5dedae40fe2d2a397afea1
       934  ...>..2X}.,]..@.  18aa193e8be832587d1f2c5dedae40fe
       928  ;...>..2X}.,]..@  3b18aa193e8be832587d1f2c5dedae40
       924  .;...>..2X}.,]..  de3b18aa193e8be832587d1f2c5dedae
# epoch 17500  H=7.4352 C=1.2314 HO=6.9297  A(t)=7477
      1082  ?...j.`Qn..N.a2.  3fffc1ff6a8b60516e0f174e156132dd
       898  j.`Qn..N.a2.2..,  6a8b60516e0f174e156132dd321fcf2c
       880  .j.`Qn..N.a2.2..  ff6a8b60516e0f174e156132dd321fcf
       870  ...j.`Qn..N.a2.2  ffc1ff6a8b60516e0f174e156132dd32
       858  ..j.`Qn..N.a2.2.  c1ff6a8b60516e0f174e156132dd321f
       824  ..>..2X}.,]..@.-  aa193e8be832587d1f2c5dedae40fe2d
       820  ...>..2X}.,]..@.  18aa193e8be832587d1f2c5dedae40fe
       751  "..ZNn.2e.T...[Y  2282835a4e6e9a3265b4549506b75b59
       737  ..ZNn.2e.T...[Y.  82835a4e6e9a3265b4549506b75b59d6
       731  `Qn..N.a2.2..,.[  60516e0f174e156132dd321fcf2cb75b
# epoch 17750  H=7.4613 C=1.2185 HO=6.9501  A(t)=7879
       870  X}.,]..@.-*9z..?  587d1f2c5dedae40fe2d2a397afea13f
       866  2X}.,]..@.-*9z..  32587d1f2c5dedae40fe2d2a397afea1
       858  }.,]..@.-*9z..?.  7d1f2c5dedae40fe2d2a397afea13f86
       856  ?...j.`Qn..N.a2.  3fffc1ff6a8b60516e0f174e156132dd
       854  .,]..@.-*9z..?.1  1f2c5dedae40fe2d2a397afea13f8631
       787  ...`2..>Co.2}E,]  1a90086032820d3e436fcc327d452c5d
       769  ..`2..>Co.2}E,]Z  90086032820d3e436fcc327d452c5d5a
       761  ....`2..>Co.2}E,  931a90086032820d3e436fcc327d452c
       743  .`2..>Co.2}E,]Z~  086032820d3e436fcc327d452c5d5a7e
       740  .2X}.,]..@.-*9z.  e832587d1f2c5dedae40fe2d2a397afe
# epoch 18000  H=7.4702 C=1.1927 HO=6.9652  A(t)=8277
      1102  ..},]~_..1.0e^.M  cde97d2c5d7e5fbd8b319d30655ed24d
      1042  >....},]~_..1.0e  3eb7c5cde97d2c5d7e5fbd8b319d3065
      1040  ...},]~_..1.0e^.  c5cde97d2c5d7e5fbd8b319d30655ed2
      1040  ....},]~_..1.0e^  b7c5cde97d2c5d7e5fbd8b319d30655e
      1030  ...>....},]~_..1  ab8ff43eb7c5cde97d2c5d7e5fbd8b31
      1028  ..>....},]~_..1.  8ff43eb7c5cde97d2c5d7e5fbd8b319d
      1018  .>....},]~_..1.0  f43eb7c5cde97d2c5d7e5fbd8b319d30
       943  3_[$....>....},]  335f5b240fab8ff43eb7c5cde97d2c5d
       903  ..\2s.J.3_[$....  f5f45c3273d84aa2335f5b240fab8ff4
       903  .\2s.J.3_[$....>  f45c3273d84aa2335f5b240fab8ff43e
# epoch 18250  H=7.5000 C=1.2082 HO=7.0001  A(t)=8648
       963  ..},]~_..1.0e^.M  cde97d2c5d7e5fbd8b319d30655ed24d
       849  .\2s.J.3_[$....>  f45c3273d84aa2335f5b240fab8ff43e
       847  ..\2s.J.3_[$....  f5f45c3273d84aa2335f5b240fab8ff4
       841  ......\2s.J.3_[$  fff2e583f5f45c3273d84aa2335f5b24
       841  .....\2s.J.3_[$.  f2e583f5f45c3273d84aa2335f5b240f
       835  ....\2s.J.3_[$..  e583f5f45c3273d84aa2335f5b240fab
       835  ...\2s.J.3_[$...  83f5f45c3273d84aa2335f5b240fab8f
       782  [E....>g...},]~.  5b450f978f193e6787ace97d2c5d7ebd
       782  E....>g...},]~..  450f978f193e6787ace97d2c5d7ebdbd
       746  ....},]~_..1.0e^  b7c5cde97d2c5d7e5fbd8b319d30655e
# epoch 18500  H=7.5099 C=1.2351 HO=7.0046  A(t)=9026
       796  },]~.....0.^.v..  7d2c5d7ebdbd8ba98d30805ed2769513
       792  1..!....tz[.2..Z  31e4fe219a0f1606747a5bf2320c925a
       785  ~.....0.^.v..0..  7ebdbd8ba98d30805ed276951330eca5
       785  ]~.....0.^.v..0.  5d7ebdbd8ba98d30805ed276951330ec
       785  ,]~.....0.^.v..0  2c5d7ebdbd8ba98d30805ed276951330
       775  .>....},]~_..1.0  f43eb7c5cde97d2c5d7e5fbd8b319d30
       775  >....},]~_..1.0e  3eb7c5cde97d2c5d7e5fbd8b319d3065
       773  ....0.....c-..&.  b4fee294309bd4f3ccfe632de5c726e9
       769  ...0.....c-..&..  fee294309bd4f3ccfe632de5c726e904
       762  ..VZ~...7[r.;..>  e784565a7ec7a218375b72913b1c0a3e
# epoch 18750  H=7.5154 C=1.2640 HO=7.0113  A(t)=9453
      1236  ...>....}G,]...p  84d6ca3ea5c1dc0b7d472c5db6eaec70
      1212  ..>....}G,]...p.  d6ca3ea5c1dc0b7d472c5db6eaec70f7
      1196  .>....}G,]...p.[  ca3ea5c1dc0b7d472c5db6eaec70f75b
      1190  >....}G,]...p.[,  3ea5c1dc0b7d472c5db6eaec70f75b2c
      1168  ....>....}G,]...  1a84d6ca3ea5c1dc0b7d472c5db6eaec
      1141  .....>....}G,]..  de1a84d6ca3ea5c1dc0b7d472c5db6ea
      1121  ......>....}G,].  06de1a84d6ca3ea5c1dc0b7d472c5db6
      1085  M.[...l.>....},:  4d055b0cc4e96ce83ead0a89a97d2c3a
      1051  .......>....}G,]  fe06de1a84d6ca3ea5c1dc0b7d472c5d
      1051  ........>....}G,  9dfe06de1a84d6ca3ea5c1dc0b7d472c
# epoch 19000  H=7.5454 C=1.2116 HO=7.0383  A(t)=9899
       890  ?.........Z#2...  3ffff4fe9994fefe96dd5a233284981d
       771  ....Z#2.....42.[  fefe96dd5a233284981d10c73432a85b
       754  >....},]._..1.0e  3eb7c5cde97d2c5d015fbd8b319d3065
       748  ....},]._..1.0e^  b7c5cde97d2c5d015fbd8b319d30655e
       741  ...Z#2.....42.[s  fe96dd5a233284981d10c73432a85b73
       738  .....42.[s.2..>.  84981d10c73432a85b73f6321c0a3e02
       735  .........Z#2....  fff4fe9994fefe96dd5a233284981d10
       725  ........Z#2.....  f4fe9994fefe96dd5a233284981d10c7
       721  ..Z#2.....42.[s.  96dd5a233284981d10c73432a85b73f6
       667  .},]~.....0.^.v.  e97d2c5d7ebdbd8ba98d30805ed27695
# epoch 19250  H=7.5377 C=1.2022 HO=7.0274  A(t)=10386
      1163  M.J..,[......lr.  4d0f4a05be2c5b95178c92ecb76c72a1
      1159  .J..,[......lr..  0f4a05be2c5b95178c92ecb76c72a1ca
      1122  [E#...>V.c.},]~.  5b452397eeae3e56d963e97d2c5d7ebd
      1108  E#...>V.c.},]~..  452397eeae3e56d963e97d2c5d7ebdbd
       973  ]&.@F-*9z..?.1r2  5d26ae40462d2a397afea13f86317232
       971  ,]&.@F-*9z..?.1r  2c5d26ae40462d2a397afea13f863172
       966  &.@F-*9z..?.1r2.  26ae40462d2a397afea13f8631723205
       936  .@F-*9z..?.1r2.;  ae40462d2a397afea13f86317232053b
       929  #..>..._},.....K  2313e83e8b888c207d2ce6b711c5ed4b
       925  ..>..._},.....K.  13e83e8b888c207d2ce6b711c5ed4bd7
# epoch 19500  H=7.5563 C=1.2491 HO=7.0467  A(t)=10827
       941  ...XLz.%.._t.t.2  ff8392584c7a9d250f9d5f74a274f232
       914  ?.....XLz.%.._t.  3fff9cff8392584c7a9d250f9d5f74a2
       898  .....XLz.%.._t.t  ff9cff8392584c7a9d250f9d5f74a274
       890  ....XLz.%.._t.t.  9cff8392584c7a9d250f9d5f74a274f2
       760  ...W>..d7}5,]..-  1ae3b1573e018064377d352c5dc8a32d
       744  [E#...>V.c.},]~.  5b452397eeae3e56d963e97d2c5d7ebd
       741  E#...>V.c.},]~..  452397eeae3e56d963e97d2c5d7ebdbd
       686  .>V.c.},]~.....0  ae3e56d963e97d2c5d7ebdbd8ba98d30
       677  .K...W>..d7}5,].  044b1ae3b1573e018064377d352c5dc8
       667  ...>V.c.},]~....  97eeae3e56d963e97d2c5d7ebdbd8ba9
# epoch 19750  H=7.5600 C=1.2809 HO=7.0444  A(t)=11304
       822  .H4.W.\2s...3_[.  ff4834e657f45c3273d88da2335f5b14
       776  4.W.\2s...3_[.G.  34e657f45c3273d88da2335f5b1447ab
       752  H4.W.\2s...3_[.G  4834e657f45c3273d88da2335f5b1447
       700  ..K...W>..d7}5,]  dc044b1ae3b1573e018064377d352c5d
       700  .K...W>..d7}5,].  044b1ae3b1573e018064377d352c5dc8
       695  [s.2..>..Q.},]_.  5b73d832ab0a3e02c351817d2c5d20c1
       684  K...W>..d7}5,]..  4b1ae3b1573e018064377d352c5dc8a3
       672  ...K...W>..d7}5,  c0dc044b1ae3b1573e018064377d352c
       672  ..@.H4.W.\2s...3  aefa40ff4834e657f45c3273d88da233
       670  .@.H4.W.\2s...3_  fa40ff4834e657f45c3273d88da2335f
# epoch 20000  H=7.5793 C=1.2907 HO=7.0785  A(t)=11733
       860  ..W>..d7}5,]../.  e3b1573e018064377d352c5dc8a32f8c
       761  [E#.0.>V.c.},]~.  5b45239730ae3e56d963e97d2c5d7eb1
       758  E#.0.>V.c.},]~.^  45239730ae3e56d963e97d2c5d7eb15e
       755  ..K...W>..d7}5,]  dc044b1ae3b1573e018064377d352c5d
       754  #.0.>V.c.},]~.^.  239730ae3e56d963e97d2c5d7eb15e8b
       740  R27t2m...A>\9o2}  52323774326dd988c4413e5c396f327d
       740  'R27t2m...A>\9o2  2752323774326dd988c4413e5c396f32
       739  .K...W>..d7}5,].  044b1ae3b1573e018064377d352c5dc8
       733  K...W>..d7}5,]..  4b1ae3b1573e018064377d352c5dc8a3
       719  ...K...W>..d7}5,  c0dc044b1ae3b1573e018064377d352c
# epoch 20250  H=7.6044 C=1.2830 HO=7.1077  A(t)=12196
       730  8.;........2>T.2  38d73bec8ef4b5fafa18d6323e54a832
       719  dr8.;........2>T  647238d73bec8ef4b5fafa18d6323e54
       714  r8.;........2>T.  7238d73bec8ef4b5fafa18d6323e54a8
       713  .ROaW.....1[.'Z.  81524f6157160fce84be315b0a275a92
       707  T?.ROaW.....1[.'  543f81524f6157160fce84be315b0a27
       705  ?.ROaW.....1[.'Z  3f81524f6157160fce84be315b0a275a
       564  [.'Z.m.dr8.;....  5b0a275a926db7647238d73bec8ef4b5
       564  1[.'Z.m.dr8.;...  315b0a275a926db7647238d73bec8ef4
       558  },]~...@,.h..$..  7d2c5d7ebdbd8b402cd668b0b424e294
       556  ,]~...@,.h..$..0  2c5d7ebdbd8b402cd668b0b424e29430
# epoch 20500  H=7.5944 C=1.2537 HO=7.0931  A(t)=12710
      1250  .....1[.'Z.m.dr8  160fce84be315b0a275a926db7647238
      1124  ....1[.'Z.m.dr8.  0fce84be315b0a275a926db7647238d7
      1096  W.....1[.'Z.m.dr  57160fce84be315b0a275a926db76472
      1073  .m.dr8.;........  926db7647238d73bec8ef4b5fafa18d6
      1035  .dr8.;........2>  b7647238d73bec8ef4b5fafa18d6323e
      1031  m.dr8.;........2  6db7647238d73bec8ef4b5fafa18d632
       999  dr8.;........2>T  647238d73bec8ef4b5fafa18d6323e54
       988  1[.'Z.m.dr8.;...  315b0a275a926db7647238d73bec8ef4
       986  ..1[.'Z.m.dr8.;.  84be315b0a275a926db7647238d73bec
       980  8.;........2>T.2  38d73bec8ef4b5fafa18d6323e54a832
# epoch 20750  H=7.5719 C=1.2144 HO=7.0582  A(t)=13197
      1025  [.ykl.>....},:.g  5b0c796b6cf13ead0a89907d2c3a0c67
       908  ....1[.'Z.m.dr8.  0fce84be315b0a275a926db7647238d7
       834  .....1[.'Z.m.dr8  160fce84be315b0a275a926db7647238
       822  W.....1[.'Z.m.dr  57160fce84be315b0a275a926db76472
       803  .ykl.>....},:.g'  0c796b6cf13ead0a89907d2c3a0c6727
       733  8.;........2>T.2  38d73bec8ef4b5fafa18d6323e54a832
       711  0[..#..>....},..  305b900c2313e83e8b888cad7d2cf3b7
       703  ykl.>....},:.g'.  796b6cf13ead0a89907d2c3a0c67271d
